DRE;CODESC;TIPOESC;NOMES;DESLOC;CEU;DIRETORIA;SUBPREF;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;DISTRITO;CDIST;SETOR;CODINEP;CD_CIE;EH;FX_ETARIA;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_CONV;DT_AUTORIZA;DT_EXTINCAO;NOME_ANT;REDE;LATITUDE;LONGITUDE;DATABASE
JT;92231;EMEI;CIDADE FERNAO DIAS;CIDADE FERNAO DIAS;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;RUA DO BANDOLIM;27;JARDIM JULIETA;2161080;22016349;29317209;;Ativa;VILA MEDEIROS;92;9202;35085509;1669187;1,63000e+14;;26/06/1981;17382;26/06/1981;;;;;DIR;-23489806;-46569004;31/12/2024
JT;92240;EMEI;EDU CHAVES, AVIADOR;EDU CHAVES, AVIADOR;;JACANA/TREMEMBE;JACANA/TREMEMBE;AVENIDA EDU CHAVES;1561;PARQUE EDU CHAVES;2229001;22427285;22429979;;Ativa;JACANA;39;3905;35052498;1669104;1,63000e+14;;;;;;30/07/1985;;;DIR;-23480474;-46566729;31/12/2024
JT;92258;EMEI;OTTILIA DE JESUS PIRES, PROFA.;OTTILIA DE JESUS PIRES, PROFA.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA SÃO LUIZ GONZAGA;62;JACANA;2274150;22410675;22417528;;Ativa;JACANA;39;3904;35052516;1669111;1,63000e+14;;;;;;27/03/1985;;JACANA - PI 103;DIR;-23464711;-46584024;31/12/2024
JT;92266;EMEI;TAUFIK DAUD KURBAN, PROF.;TAUFIK DAUD KURBAN, PROF.;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA MANUEL GAYA;500;VILA MAZZEI;2313001;22037669;29963008;22037669;Ativa;TREMEMBE;81;8105;35052536;1669126;1,63000e+14;;;;;;27/03/1985;;VILA MAZZEI - PI 67;DIR;-23465449;-46597537;31/12/2024
JT;92274;EMEI;ITALO BETTARELLO, PROF.;ITALO BETTARELLO, PROF.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA JULIO BUONO;2680;VILA GUSTAVO;2201000;22018290;22126181;;Ativa;VILA MEDEIROS;92;9203;35052528;1669191;1,63000e+14;;01/01/1956;0;01/01/1956;;;;VILA GUSTAVO - PI 85;DIR;-23479719;-46584560;31/12/2024
JT;92282;EMEI;LAURA FUNFAS LE SUEUR, PROFA.;LAURA FUNFAS LE SUEUR, PROFA.;;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;AVENIDA JULIO BUONO;915;VILA GUSTAVO;2201000;22018906;29315739;;Ativa;VILA MEDEIROS;92;9204;35084244;1669194;1,63000e+14;;24/12/1980;17101;24/12/1980;;30/07/1985;;VILA GUSTAVO;DIR;-23490587;-46596228;31/12/2024
JT;92291;EMEI;FLAVIO IMPERIO;FLAVIO IMPERIO;;JACANA/TREMEMBE;JACANA/TREMEMBE;RUA JOSE FIGLIOLINI;735;VILA NILO;2278020;22410676;22416553;;Ativa;JACANA;39;3904;35092617;1669107;1,63000e+14;;26/08/1985;21250;26/08/1985;;16/03/1991;;VILA NILO;DIR;-23459515;-46574276;31/12/2024
SA;92304;EMEI;MACHADO DE ASSIS;MACHADO DE ASSIS;;SANTO AMARO;JABAQUARA;RUA TENENTE AMÉRICO MORETTI;1189;VILA SANTA CATARINA;4372064;55639045;56710573;56773514;Ativa;JABAQUARA;38;3805;35051895;1673168;1,63000e+14;;17/11/1975;12392;17/11/1975;;30/07/1985;;;DIR;-23653479;-46652822;31/12/2024
SA;92312;EMEI;CASIMIRO DE ABREU;CASIMIRO DE ABREU;;SANTO AMARO;JABAQUARA;RUA DAS ROLINHAS;207;VILA DO ENCONTRO;4323070;55881933;;55885119;Ativa;JABAQUARA;38;3804;35080998;1673154;1,63000e+14;;22/02/1979;15710;22/02/1979;;18/09/1985;;;DIR;-23655485;-46640883;31/12/2024
SA;92321;EMEI;LEONOR MENDES DE BARROS, DA.;LEONOR MENDES DE BARROS, DA.;;SANTO AMARO;JABAQUARA;PRACA JOSE LUZ;108;CIDADE VARGAS;4320010;55884629;50217900;;Ativa;JABAQUARA;38;3803;35051871;1673163;1,63000e+14;;;;;;29/05/1985;;CIDADE VARGAS PI- 11;DIR;-23646119;-46637443;31/12/2024
SA;92339;EMEI;NEUSA MARIA ROSSI;NEUSA MARIA ROSSI;;SANTO AMARO;JABAQUARA;RUA LUCRECIA MACIEL;40;VILA GUARANI;4314130;50170571;;50170021;Ativa;JABAQUARA;38;3803;35051901;1673169;1,63000e+14;;;;;;17/04/1985;;VILA GUARANI - PI 61;DIR;-23634309;-46636563;31/12/2024
SA;92347;EMEI;LAUDO FERREIRA DE CAMARGO;LAUDO FERREIRA DE CAMARGO;;SANTO AMARO;JABAQUARA;RUA SARGENTO TOMAS DE MEDEIROS;23;JABAQUARA;4345040;50111810;;;Ativa;JABAQUARA;38;3802;35084384;1673160;1,63000e+14;;24/12/1980;17101;24/12/1980;;;;CONJUNTO HABITACIONAL CASTELO BRANCO;DIR;-23637071;-46643686;31/12/2024
SA;92355;EMEI;LOURDES HEREDIA MELLO, PROFA.;LOURDES HEREDIA MELLO, PROFA.;;SANTO AMARO;JABAQUARA;PRACA WHITAKER PENTEADO;264;VILA GUARANI;4307050;22753958;;22754798;Ativa;JABAQUARA;38;3802;35051883;1673166;1,63000e+14;;;;;;18/09/1985;;JARDIM NIAGARA - PI 57;DIR;-23630764;-46643579;31/12/2024
